id,title,description,source,suggested_label,human_label,notes
215,Database Backup Settings Could Be More Secure,Thought it would be good to add an option to require a password for database backups.,synthetic,LOW,LOW,
319,emails are down,nobody is getting any automated responses from the portal today.,Nyamirambo Retail App,HIGH,HIGH,New signup emails are not sending out today.
380,Automated transactional email notifications are stuck,The background worker process is failing to dispatch registration confirmation emails. This is causing significant backlog for onboarding.,Kanombe Cargo System,HIGH,HIGH,New signup emails are not sending out today.
444,Request to alter UI button accent hex code,Could we update the primary action button color to a blue accent to better match our corporate identity system guidelines? Low priority.,Butare School Portal,LOW,LOW,Client wants to change a button color from green to blue.
229,Invoice microservice rounding error on calculation (#694),"Invoice #2938 shows a subtotal of $600 due to a tax configuration error, which contradicts the fixed $400 amount stated in our contract parameters.",Kigali Beauty Platform,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
407,Inquiry regarding user onboarding manual availability (#678),Could you provide a quick reference guide or video tutorial covering the addition of new staff accounts for our upcoming internal training session?,Kimironko Shop System,LOW,LOW,Customer needs a simple guide on how to add a worker.
302,invoice error (#979),the price on the invoice sheet does not match our profile records.,Kanombe Cargo System,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
389,hello site not working help (#350),the whole app is broken we click click nothing happens screen is white blank please help fast business stop,Kanombe Cargo System,CRITICAL,CRITICAL,The entire app is down. Customers cannot buy anything.
269,Inquiry regarding documentation assets for multi-tenant administration (#551),We are setting up internal knowledge base articles and require the video walkthrough link for adding and configuring new corporate roles.,Kimironko Shop System,LOW,LOW,Customer needs a simple guide on how to add a worker.
263,PDF layout stream omitting custom text blocks (#673),"The export module is failing to map the data stream variable to the document layout, causing blank rows in downloaded reports while web view is fine.",Gitarama Pharmacy Web,MEDIUM,MEDIUM,Text is missing when exporting reports to a paper file.
427,change button look blue color (#778),can we change green button to blue color? blue is nice for our company brand. no rush when you have time,Remera Tax Portal,LOW,LOW,Client wants to change a button color from green to blue.
208,Minor UI Issue with Font Sizes,"The font sizes in the system are not consistent, which is making it hard to read the text. Please make the font sizes uniform.",synthetic,MEDIUM,MEDIUM,
337,Billing mismatch on monthly system invoice (#512),"The automated invoicing system generated an incorrect total for this period, billing $600 instead of our baseline retainer of $400.",Kanombe Cargo System,CRITICAL,MEDIUM,Wrong bill total on the monthly client invoice.
303,text not inside printed report (#749),we add words on screen but when downlod pdf file that text is gone paper look empty. check when free,Gisenyi Hotel Booking,MEDIUM,MEDIUM,Text is missing when exporting reports to a paper file.
170,"Data loss catastrophe, urgent assistance.","Our database has been compromised, resulting in the loss of critical client information. Please help.",synthetic-edge,CRITICAL,CRITICAL,
5,User Role Permissions Not Updating Correctly,"We're having trouble updating user role permissions, and it's not reflecting correctly in the system. Can you troubleshoot this?",synthetic,MEDIUM,HIGH,
419,DASHBOARD LOADING FOREVER!!! (#572),THE SYSTEM IS SO SLOW IT TAKES 3 MINUTES THEN GIVES TIMEOUT ERROR WE CANNOT SEE THE DAILY REPORTS TODAY!!,Gisenyi Hotel Booking,HIGH,HIGH,The system is loading too slow and timing out.
105,Broken login for users with custom domains,Login attempts are failing for users whose email addresses are registered under a custom domain. This is causing a significant disruption to our business operations. Can this be resolved ASAP?,synthetic,HIGH,HIGH,
275,PDF export missing key custom data rows,"When downloading the analytics dashboard summary, the generated file fails to render the customized narrative rows present in the web layout.",Gisenyi Hotel Booking,LOW,MEDIUM,Text is missing when exporting reports to a paper file.
175,Webhook Delivery Failure on Certain Events,"Our webhooks are failing to deliver on some events, which is causing our integrations to break. Can you investigate this issue?",synthetic,MEDIUM,MEDIUM,
472,Inquiry regarding user onboarding manual availability (#581),Could you provide a quick reference guide or video tutorial covering the addition of new staff accounts for our upcoming internal training session?,Kimironko Shop System,LOW,LOW,Customer needs a simple guide on how to add a worker.
375,need documentation guide (#538),looking for an instruction link on how to manage user profiles on the platform.,Kimironko Shop System,LOW,LOW,Customer needs a simple guide on how to add a worker.
84,Active Session Loop Causing App Crash,"Our application is stuck in a continuous crash loop, wiping user sessions. Please resolve ASAP to prevent further data loss.",synthetic,CRITICAL,CRITICAL,
440,Invoice microservice rounding error on calculation (#819),"Invoice #2938 shows a subtotal of $600 due to a tax configuration error, which contradicts the fixed $400 amount stated in our contract parameters.",Butare School Portal,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
406,Inquiry regarding user onboarding manual availability (#279),Could you provide a quick reference guide or video tutorial covering the addition of new staff accounts for our upcoming internal training session?,Kimironko Shop System,LOW,LOW,Customer needs a simple guide on how to add a worker.
366,change button look blue color (#108),can we change green button to blue color? blue is nice for our company brand. no rush when you have time,Kimironko Shop System,LOW,LOW,Client wants to change a button color from green to blue.
504,Session lifetime parameter expiring prematurely (#815),The authentication token cookie is invalidating after 5 minutes of idle state instead of the configured 2 hours. This disrupts worker workflows.,Kanombe Cargo System,MEDIUM,MEDIUM,The application logs users out way too fast.
447,PDF export missing key custom data rows (#429),"When downloading the analytics dashboard summary, the generated file fails to render the customized narrative rows present in the web layout.",Gitarama Pharmacy Web,MEDIUM,MEDIUM,Text is missing when exporting reports to a paper file.
277,Session lifetime parameter expiring prematurely,The authentication token cookie is invalidating after 5 minutes of idle state instead of the configured 2 hours. This disrupts worker workflows.,Rubavu Agri Market,MEDIUM,MEDIUM,The application logs users out way too fast.
205,Critical Data Loss Due to Unsynced Database Backups,"Our backup process failed, leaving our database in an inconsistent state. We need a fix to prevent future losses.",synthetic,CRITICAL,HIGH,
371,DATA IS COMPLETELY GONE!!!,I OPENED THE PAGE AND EVERY CLIENT RECORD IS DELETED WE ARE PANICKING FIX IT NOW NOW!!,Musanze Delivery App,CRITICAL,CRITICAL,All client records are missing from the screen. Team is stuck.
55,Feature Request: Customizable Email Notification Templates,Would love the option to customize email notification templates to better fit our brand.,synthetic,LOW,LOW,
356,reports page loading error (#728),the page keeps spinning and won't display any numbers for our team.,Kimironko Shop System,HIGH,HIGH,The system is loading too slow and timing out.
15,"Data integrity compromised, please help.","Our database has been compromised, resulting in data inconsistencies and errors. This requires immediate resolution.",synthetic-edge,CRITICAL,CRITICAL,
329,Inquiry regarding documentation assets for multi-tenant administration (#751),We are setting up internal knowledge base articles and require the video walkthrough link for adding and configuring new corporate roles.,Musanze Delivery App,LOW,LOW,Customer needs a simple guide on how to add a worker.
413,PDF layout stream omitting custom text blocks (#495),"The export module is failing to map the data stream variable to the document layout, causing blank rows in downloaded reports while web view is fine.",Butare School Portal,MEDIUM,MEDIUM,Text is missing when exporting reports to a paper file.
340,login not open code error (#465),everyone try to enter password but it say wrong token loop. nobody can do work today please fix now now,Gisenyi Hotel Booking,CRITICAL,CRITICAL,Nobody can log in to work. Big emergency.
227,Typo correction in settings menu localization file (#131),The string asset for account_label contains a typo where 'account' is rendered as 'acount'. This needs to be polished in the next patch update.,Kimironko Shop System,LOW,LOW,Small spelling error found on the settings page.
236,hello site not working help (#669),the whole app is broken we click click nothing happens screen is white blank please help fast business stop,Kigali Beauty Platform,LOW,CRITICAL,The entire app is down. Customers cannot buy anything.
254,WHERE IS THE ONBOARDING MANUAL OR VIDEO?? (#145),WE HAVE INTERNS STARTING NEXT WEEK AND NEED A SIMPLE GUIDE TO SHOW THEM HOW TO USE THIS PLATFORM SEND IT!!,Kimironko Shop System,LOW,LOW,Customer needs a simple guide on how to add a worker.
398,everything is broken (#501),the system is down and nobody can do anything today.,Rubavu Agri Market,CRITICAL,CRITICAL,The entire app is down. Customers cannot buy anything.
309,Database replication failure causing mass data loss (#571),The core data cluster has failed after the last deploy. Active client records are no longer visible on any dashboard.,Rubavu Agri Market,CRITICAL,CRITICAL,All client records are missing from the screen. Team is stuck.
93,Rate Limiting Issue on API Requests,We're getting rate limit errors when making API requests in quick succession. Can you increase the rate limit threshold or provide a better error message?,synthetic,MEDIUM,MEDIUM,
239,app died,it just stopped working and shows a blank white screen since morning.,Kanombe Cargo System,CRITICAL,CRITICAL,The screen is frozen for everyone. Urgent fix needed.
57,Ticket Search Functionality Not Working as Expected,"When searching for tickets, it's showing incorrect results. This makes it impossible for our team to track and resolve issues efficiently.",synthetic,HIGH,MEDIUM,
158,Failed Backup and Restore Process,"Our backup and restore process has failed, resulting in data loss. Urgent assistance required to prevent further data loss",synthetic,HIGH,CRITICAL,
414,Inquiry regarding documentation assets for multi-tenant administration (#508),We are setting up internal knowledge base articles and require the video walkthrough link for adding and configuring new corporate roles.,Gitarama Pharmacy Web,LOW,LOW,Customer needs a simple guide on how to add a worker.
42,System Failure – API Calls Being Rejected,"Our API calls are being rejected due to a system failure, preventing us from serving our clients.",synthetic,CRITICAL,CRITICAL,
19,Minor Alignment Issue with File Upload Progress Bars,The file upload progress bars look a bit misaligned.,synthetic,LOW,LOW,
45,Minor UI Issue with Analytics Dashboard,"The pie charts on the analytics dashboard are a bit too small. Not a major issue, but thought I'd mention it.",synthetic,LOW,LOW,
428,system slow loading loop (#326),open page take too long time then say timeout error. we cannot do reporting today because it loop. please check why slow,Gitarama Pharmacy Web,HIGH,HIGH,The system is loading too slow and timing out.
453,no message coming to customer mail (#259),when new person make sign up they get no email link. yesterday it work fine today nothing. please look fast,Kimironko Shop System,CRITICAL,HIGH,New signup emails are not sending out today.
137,CSV Export Options,Could we add an option to export CSV files in a specific format (e.g. pipe-delimited)?,synthetic,LOW,LOW,
434,payment gateway completely down no one can pay,EVERY TRANSACTION IS FAILING ON ALL BROWSERS AND SYSTEMS MOBILE MONEY IS COMPLETELY BLOCKED BUSINESS IS FULLY STOPPED FIX NOW NOW!!,Kanombe Cargo System,CRITICAL,CRITICAL,Mobile money payment is failing but taking customer money.
66,Ticket Search Could Include More Filtering Options,"When searching tickets, it would be helpful to have more filtering options, like 'status' or 'assignee'.",synthetic,LOW,LOW,
515,Session lifetime parameter expiring prematurely (#808),The authentication token cookie is invalidating after 5 minutes of idle state instead of the configured 2 hours. This disrupts worker workflows.,Nyamirambo Retail App,MEDIUM,MEDIUM,The application logs users out way too fast.
410,login not open code error (#314),everyone try to enter password but it say wrong token loop. nobody can do work today please fix now now,Remera Tax Portal,MEDIUM,CRITICAL,Nobody can log in to work. Big emergency.
341,invoice money wrong count,hello bill we get today is wrong number. it say 600 but agreement is 400. please look and send true one,Kanombe Cargo System,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
2,REST API Return Empty Responses,"Our API calls are returning empty responses, resulting in failed data syncs. Urgent attention required to prevent further data inconsistencies",synthetic,HIGH,CRITICAL,
305,spelling typo found,there is a small wording mistake inside one of the description blocks in the user settings menu.,Butare School Portal,LOW,LOW,Small spelling error found on the settings page.
171,File Upload Error on Safari Browser,"We're experiencing file upload errors on Safari browser, which is causing issues with our data imports. Can you troubleshoot this?",synthetic,MEDIUM,MEDIUM,
150,Notification emails are being sent to incorrect email addresses,"Our notification emails are being sent to incorrect email addresses, which is causing confusion among our users. Please help us resolve this issue ASAP.",synthetic,HIGH,CRITICAL,
295,File upload failing with unhandled 413 exception (#366),"When clients upload files larger than 1MB on Chrome v114, the system crashes without error messages. This is blocking the compliance team onboarding loop.",Gitarama Pharmacy Web,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
482,Minor typo identified within settings layout (#235),There is a minor spelling error in the account configuration tab where 'account' is misspelled with a single 'c'. Cosmetic fix.,Kimironko Shop System,LOW,LOW,Small spelling error found on the settings page.
330,DASHBOARD LOADING FOREVER!!! (#615),THE SYSTEM IS SO SLOW IT TAKES 3 MINUTES THEN GIVES TIMEOUT ERROR WE CANNOT SEE THE DAILY REPORTS TODAY!!,Remera Tax Portal,HIGH,HIGH,The system is loading too slow and timing out.
261,THE TEXT IS MISSING FROM THE PDF EXPORT!!!,IT SHOWS ON THE COMPUTER SCREEN BUT THE DOWNLOADED PAPER FILE IS COMPLETELY BLANK REMOVE THIS BUG!!,Nyamirambo Retail App,MEDIUM,MEDIUM,Text is missing when exporting reports to a paper file.
270,change button look blue color,can we change green button to blue color? blue is nice for our company brand. no rush when you have time,Kimironko Shop System,LOW,LOW,Client wants to change a button color from green to blue.
495,PDF export missing key custom data rows (#132),"When downloading the analytics dashboard summary, the generated file fails to render the customized narrative rows present in the web layout.",Kanombe Cargo System,MEDIUM,MEDIUM,Text is missing when exporting reports to a paper file.
234,getting logged out constantly (#707),the system keeps forcing me back to the sign-in screen during active intervals.,Musanze Delivery App,MEDIUM,MEDIUM,The application logs users out way too fast.
484,attachments broken (#799),the upload section is not accepting any files from our side.,Musanze Delivery App,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
111,"Error sending notifications, urgent fix.",Our team is experiencing issues sending notifications to clients. This is impacting our business and requiring overtime.,synthetic-edge,HIGH,HIGH,
435,Request to alter UI button accent hex code (#498),Could we update the primary action button color to a blue accent to better match our corporate identity system guidelines? Low priority.,Kanombe Cargo System,LOW,LOW,Client wants to change a button color from green to blue.
48,Session Timeout Warning,It'd be awesome if there was a warning when the user's session is about to time out,synthetic,LOW,LOW,
155,Subscription billing errors causing account freezes,"Multiple users are experiencing account freezes due to billing errors, resulting in lost revenue. We're breaching our SLA and need this resolved today.",synthetic,HIGH,HIGH,
217,Minor Wording Issue in Session Management Documentation,The wording in the session management documentation on step 3 could be clearer.,synthetic,LOW,LOW,
314,EMAILS ARE NOT GOING TO CLIENTS!!! (#225),NEW SIGNUP EMAILS ARE FULLY STUCK AND CUSTOMERS ARE COMPLAINING FIX THIS NOW TODAY!!,Gitarama Pharmacy Web,HIGH,HIGH,New signup emails are not sending out today.
468,Session lifetime parameter expiring prematurely (#820),The authentication token cookie is invalidating after 5 minutes of idle state instead of the configured 2 hours. This disrupts worker workflows.,Remera Tax Portal,MEDIUM,MEDIUM,The application logs users out way too fast.
421,Request to modify CSS color property on confirmation button (#695),Please update the primary button class from background-color: #28a745 to #007bff to stay compliant with our internal brand guidebook.,Musanze Delivery App,LOW,LOW,Client wants to change a button color from green to blue.
196,Subscription Billing Details,I wish we could display the upcoming payment date for subscription billing,synthetic,LOW,LOW,
463,APP IS COMPLETELY DOWN NOW NOW!!! (#873),WE ARE LOSING EVERY SINGLE CUSTOMER MONEY IS FAILING SYSTEM IS FROZEN PLS FIX ASAP!!!!,Gisenyi Hotel Booking,CRITICAL,CRITICAL,The entire app is down. Customers cannot buy anything.
80,Financial reports are being generated with incorrect dates,"Our financial reports are displaying incorrect dates, which is affecting our accounting needs. We need this fixed today.",synthetic,HIGH,HIGH,
394,photo upload not work error (#659),we try to put photo or paper pdf file inside but it say fail. we need this today for daily job please repair soon,Remera Tax Portal,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
132,Inconsistent User Role Assignments,The user roles assigned to some users are not persisted across different login sessions. This is causing confusion and impacting our workflow.,synthetic,MEDIUM,MEDIUM,
464,PDF layout stream omitting custom text blocks (#452),"The export module is failing to map the data stream variable to the document layout, causing blank rows in downloaded reports while web view is fine.",Rubavu Agri Market,MEDIUM,MEDIUM,Text is missing when exporting reports to a paper file.
326,app logout too quick (#449),system log out every 5 minute when stop typing. very annoying to type long passwrd again again. make long time please,Rubavu Agri Market,HIGH,MEDIUM,The application logs users out way too fast.
179,"Core feature broken, immediate attention.",Our team is unable to complete tasks due to the broken feature. This is impacting our business operations.,synthetic-edge,HIGH,HIGH,
136,Data Import Process Taking Too Long,"The data import process is taking too long, which is causing delays in our workflow. Can you optimize the import process?",synthetic,MEDIUM,MEDIUM,
516,DATA IS COMPLETELY GONE!!! (#237),I OPENED THE PAGE AND EVERY CLIENT RECORD IS DELETED WE ARE PANICKING FIX IT NOW NOW!!,Nyamirambo Retail App,CRITICAL,CRITICAL,All client records are missing from the screen. Team is stuck.
134,Mobile App Push Notification Not Received,Our mobile app push notifications are not being delivered as expected. This is impacting our ability to notify users of important updates.,synthetic,MEDIUM,MEDIUM,
391,Ransomware popup on live web server admin link,Our live system admin page has been hijacked. It displays an external hacker alert demanding payment and all staff authentication tokens are rejected.,Rubavu Agri Market,CRITICAL,CRITICAL,The main link is completely broken. Business is stopped.
342,attachments broken (#418),the upload section is not accepting any files from our side.,Gisenyi Hotel Booking,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
455,WRONG BILL AMOUNT AGAIN!!! (#428),OUR INVOICE SAYS 600 DOLLARS BUT OUR CONTRACT IS ONLY 400 DOLLARS PLEASE FIX THIS DISCREPANCY TODAY!!,Nyamirambo Retail App,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
280,money go out but order fail,customer buy things but payment say error. mobile money take their cash but no order inside system. big problem help,Gitarama Pharmacy Web,CRITICAL,CRITICAL,Mobile money payment is failing but taking customer money.
231,color change request (#250),we want to alter some accent layouts on the main display page when you have extra sprint bandwidth.,Nyamirambo Retail App,LOW,LOW,Client wants to change a button color from green to blue.
405,Production server completely unreachable (#339),We are experiencing an unrecoverable system outage. All active API nodes are throwing a blank 500 error page. Operations are fully stopped.,Rubavu Agri Market,MEDIUM,CRITICAL,The main link is completely broken. Business is stopped.
412,WRONG BILL AMOUNT AGAIN!!! (#515),OUR INVOICE SAYS 600 DOLLARS BUT OUR CONTRACT IS ONLY 400 DOLLARS PLEASE FIX THIS DISCREPANCY TODAY!!,Kanombe Cargo System,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
381,Database replication failure causing mass data loss (#624),The core data cluster has failed after the last deploy. Active client records are no longer visible on any dashboard.,Musanze Delivery App,CRITICAL,CRITICAL,All client records are missing from the screen. Team is stuck.
456,login not open code error (#157),everyone try to enter password but it say wrong token loop. nobody can do work today please fix now now,Kimironko Shop System,CRITICAL,CRITICAL,Nobody can log in to work. Big emergency.
95,Mobile App Icon Size Looks Slightly Off,The mobile app icon looks a bit misaligned on the home screen.,synthetic,LOW,LOW,
308,attachments broken (#926),the upload section is not accepting any files from our side.,Remera Tax Portal,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
448,reports page loading error (#219),the page keeps spinning and won't display any numbers for our team.,Remera Tax Portal,HIGH,HIGH,The system is loading too slow and timing out.
115,Database Backup Process Taking Too Long,"The database backup process is taking too long, which is causing delays in our workflow. Could you optimize the backup process?",synthetic,MEDIUM,MEDIUM,
181,Incorrect User Information Displayed,"The user information displayed in the system is not correct, and it's causing confusion. Can you correct the user information?",synthetic,MEDIUM,MEDIUM,
224,Payment Gateway Down,The payment gateway is completely down preventing clients from making payments. We need an immediate fix.,synthetic,CRITICAL,CRITICAL,
404,invoice money wrong count (#702),hello bill we get today is wrong number. it say 600 but agreement is 400. please look and send true one,Kanombe Cargo System,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
238,app logout too quick,system log out every 5 minute when stop typing. very annoying to type long passwrd again again. make long time please,Rubavu Agri Market,MEDIUM,MEDIUM,The application logs users out way too fast.
56,Third-Party Integration Failure Stopping Payment Processing,"Our payment gateway integration has failed, preventing our customers from making transactions. This is critical.",synthetic,CRITICAL,CRITICAL,
245,File attachment module throwing errors,Users are unable to upload any compliance documentation or image files. The system rejects the payload at 99% with an unhandled exception.,Kimironko Shop System,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
408,Billing mismatch on monthly system invoice (#839),"The automated invoicing system generated an incorrect total for this period, billing $600 instead of our baseline retainer of $400.",Gitarama Pharmacy Web,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
99,Minor Alignment Issue with Email Notifications,The email notifications for new tickets look a bit off-centered.,synthetic,LOW,LOW,
228,File upload failing with unhandled 413 exception,"When clients upload files larger than 1MB on Chrome v114, the system crashes without error messages. This is blocking the compliance team onboarding loop.",Rubavu Agri Market,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
117,Fonts in footer don't match the rest.,The font size in the footer is different from the rest of the app. Can you make it consistent?,synthetic-edge,LOW,LOW,
296,the wrong price is showing on the checkout page,the item price on the web display shows 50 dollars but when users go to purchase it switches to 75 dollars. this is causing confusion.,Gisenyi Hotel Booking,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
417,change button look blue color (#299),can we change green button to blue color? blue is nice for our company brand. no rush when you have time,Kigali Beauty Platform,LOW,LOW,Client wants to change a button color from green to blue.
67,"Error deleting user accounts, needs fixing.",Our team is experiencing issues deleting user accounts. This is impacting our productivity and requiring overtime.,synthetic-edge,MEDIUM,MEDIUM,
483,Request to modify CSS color property on confirmation button (#825),Please update the primary button class from background-color: #28a745 to #007bff to stay compliant with our internal brand guidebook.,Kimironko Shop System,LOW,LOW,Client wants to change a button color from green to blue.
374,reports page loading error (#739),the page keeps spinning and won't display any numbers for our team.,Remera Tax Portal,HIGH,HIGH,The system is loading too slow and timing out.
344,everything is broken (#590),the system is down and nobody can do anything today.,Gisenyi Hotel Booking,CRITICAL,CRITICAL,The entire app is down. Customers cannot buy anything.
53,Mobile App Crashes on Launch for iOS 15 Users,Our mobile app has been crashing since the last update on iOS 15 devices. This is affecting our entire team who rely on the app. Unacceptable experience,synthetic,HIGH,HIGH,
210,CSV Export Hanging,"Our CSV export is stuck in limbo, preventing us from generating the required regulatory reports.",synthetic,CRITICAL,CRITICAL,
272,emails are down (#425),nobody is getting any automated responses from the portal today.,Kanombe Cargo System,HIGH,HIGH,New signup emails are not sending out today.
159,Webhook Delivery Could Support Multiple Recipients,"When configuring webhook delivery settings, it would be great to support sending to multiple recipients.",synthetic,LOW,LOW,
390,reports page loading error (#495),the page keeps spinning and won't display any numbers for our team.,Nyamirambo Retail App,HIGH,HIGH,The system is loading too slow and timing out.
6,Invoice Number Prefix,I think it'd be great if invoices had a customisable prefix (e.g. our company name),synthetic,LOW,LOW,
