id,title,description,source,suggested_label,human_label,notes
17,EMAILS ARE NOT GOING TO CLIENTS!!!,NEW SIGNUP EMAILS ARE FULLY STUCK AND CUSTOMERS ARE COMPLAINING FIX THIS NOW TODAY!!,Gisenyi Hotel Booking,HIGH,HIGH,New signup emails are not sending out today.
18,attachments broken,the upload section is not accepting any files from our side.,Musanze Delivery App,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
19,File attachment module throwing errors,Users are unable to upload any compliance documentation or image files. The system rejects the payload at 99% with an unhandled exception.,Kimironko Shop System,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
20,File upload failing with unhandled 413 exception (#634),"When clients upload files larger than 1MB on Chrome v114, the system crashes without error messages. This is blocking the compliance team onboarding loop.",Kigali Beauty Platform,MEDIUM,HIGH,File upload button is broken. Users cannot add attachments.
21,File attachment module throwing errors,Users are unable to upload any compliance documentation or image files. The system rejects the payload at 99% with an unhandled exception.,Remera Tax Portal,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
22,THERE IS A TYPO ON THE SETTINGS PAGE!!! (#817),IT SAYS ACOUNT INSTEAD OF ACCOUNT FIX THIS MINOR SPELLING MISTAKE IN THE NEXT SPRINT UPDATE!!,Kimironko Shop System,CRITICAL,LOW,Small spelling error found on the settings page.
23,app died (#526),it just stopped working and shows a blank white screen since morning.,Gisenyi Hotel Booking,CRITICAL,CRITICAL,The screen is frozen for everyone. Urgent fix needed.
24,system failure (#143),the app is completely dead for all our office workers.,Musanze Delivery App,CRITICAL,CRITICAL,The entire app is down. Customers cannot buy anything.
25,ALL LOGIN IS BROKEN HELP!!! (#664),NOBODY IN THE WHOLE OFFICE CAN LOG IN SINCE 1 HOUR!! EVERYTHING IS BLANK SCREEN FIX THIS NOW!!,Remera Tax Portal,CRITICAL,CRITICAL,Nobody can log in to work. Big emergency.
26,app logout too quick (#265),system log out every 5 minute when stop typing. very annoying to type long passwrd again again. make long time please,Remera Tax Portal,HIGH,MEDIUM,The application logs users out way too fast.
27,invoice money wrong count (#221),hello bill we get today is wrong number. it say 600 but agreement is 400. please look and send true one,Nyamirambo Retail App,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
28,FILE UPLOAD IS TOTALLY BROKEN!!!,WE CANNOT UPLOAD PDF OR PHOTOS FOR OUR WORK TODAY IT SAYS FAILED ALWAYS FIX THIS SOON IT IS VERY FRUSTRATING!!,Musanze Delivery App,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
29,WHERE IS THE ONBOARDING MANUAL OR VIDEO?? (#145),WE HAVE INTERNS STARTING NEXT WEEK AND NEED A SIMPLE GUIDE TO SHOW THEM HOW TO USE THIS PLATFORM SEND IT!!,Kimironko Shop System,LOW,LOW,Customer needs a simple guide on how to add a worker.
30,ALL LOGIN IS BROKEN HELP!!!,NOBODY IN THE WHOLE OFFICE CAN LOG IN SINCE 1 HOUR!! EVERYTHING IS BLANK SCREEN FIX THIS NOW!!,Rubavu Agri Market,CRITICAL,CRITICAL,Nobody can log in to work. Big emergency.
31,Critical system crash on payment module (#359),"Since the update at 3pm, users get a blank screen and 500 error when clicking pay. Affected domain: /api/checkout. Error code: GATEWAY_TIMEOUT. All users blocked.",Gisenyi Hotel Booking,CRITICAL,CRITICAL,Mobile money payment is failing but taking customer money.
32,THE APP LOGS ME OUT EVERY 5 MINUTES!!!,THIS IS SO ANNOYING I HAVE TO RE-ENTER MY PASSWORD EVERY TIME I STOP TYPING FOR A SECOND MAKE THE TIME LONGER!!,Kanombe Cargo System,MEDIUM,MEDIUM,The application logs users out way too fast.
33,Database replication failure causing mass data loss,The core data cluster has failed after the last deploy. Active client records are no longer visible on any dashboard.,Rubavu Agri Market,CRITICAL,CRITICAL,All client records are missing from the screen. Team is stuck.
34,photo upload not work error,we try to put photo or paper pdf file inside but it say fail. we need this today for daily job please repair soon,Kigali Beauty Platform,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
35,how to put new worker inside (#739),hello we have new person coming next week. how do we add them inside app? you have simple video or text link? thanks,Gisenyi Hotel Booking,MEDIUM,LOW,Customer needs a simple guide on how to add a worker.
36,THE TEXT IS MISSING FROM THE PDF EXPORT!!!,IT SHOWS ON THE COMPUTER SCREEN BUT THE DOWNLOADED PAPER FILE IS COMPLETELY BLANK REMOVE THIS BUG!!,Nyamirambo Retail App,MEDIUM,MEDIUM,Text is missing when exporting reports to a paper file.
37,Complete session database corruption after deploy (#652),"After the recent build pipeline finished, all users are kicked into a login loop. Token verification throws an unhandled null pointer error. Nobody can access dashboards.",Musanze Delivery App,CRITICAL,CRITICAL,Nobody can log in to work. Big emergency.
38,PDF layout stream omitting custom text blocks (#673),"The export module is failing to map the data stream variable to the document layout, causing blank rows in downloaded reports while web view is fine.",Gitarama Pharmacy Web,MEDIUM,MEDIUM,Text is missing when exporting reports to a paper file.
39,APP IS COMPLETELY DOWN NOW NOW!!!,WE ARE LOSING EVERY SINGLE CUSTOMER MONEY IS FAILING SYSTEM IS FROZEN PLS FIX ASAP!!!!,Gitarama Pharmacy Web,CRITICAL,CRITICAL,The entire app is down. Customers cannot buy anything.
40,FILE UPLOAD IS TOTALLY BROKEN!!!,WE CANNOT UPLOAD PDF OR PHOTOS FOR OUR WORK TODAY IT SAYS FAILED ALWAYS FIX THIS SOON IT IS VERY FRUSTRATING!!,Kanombe Cargo System,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
41,WRONG BILL AMOUNT AGAIN!!!,OUR INVOICE SAYS 600 DOLLARS BUT OUR CONTRACT IS ONLY 400 DOLLARS PLEASE FIX THIS DISCREPANCY TODAY!!,Kimironko Shop System,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
42,everything is broken,the system is down and nobody can do anything today.,Kimironko Shop System,MEDIUM,CRITICAL,The entire app is down. Customers cannot buy anything.
43,DASHBOARD LOADING FOREVER!!! (#952),THE SYSTEM IS SO SLOW IT TAKES 3 MINUTES THEN GIVES TIMEOUT ERROR WE CANNOT SEE THE DAILY REPORTS TODAY!!,Kimironko Shop System,HIGH,HIGH,The system is loading too slow and timing out.
44,everything is broken,the system is down and nobody can do anything today.,Kimironko Shop System,CRITICAL,CRITICAL,The entire app is down. Customers cannot buy anything.
45,THERE IS A TYPO ON THE SETTINGS PAGE!!!,IT SAYS ACOUNT INSTEAD OF ACCOUNT FIX THIS MINOR SPELLING MISTAKE IN THE NEXT SPRINT UPDATE!!,Butare School Portal,LOW,LOW,Small spelling error found on the settings page.
46,Inquiry regarding documentation assets for multi-tenant administration (#551),We are setting up internal knowledge base articles and require the video walkthrough link for adding and configuring new corporate roles.,Kimironko Shop System,LOW,LOW,Customer needs a simple guide on how to add a worker.
47,change button look blue color,can we change green button to blue color? blue is nice for our company brand. no rush when you have time,Kimironko Shop System,LOW,LOW,Client wants to change a button color from green to blue.
48,color change request,we want to alter some accent layouts on the main display page when you have extra sprint bandwidth.,Remera Tax Portal,LOW,LOW,Client wants to change a button color from green to blue.
49,emails are down (#425),nobody is getting any automated responses from the portal today.,Kanombe Cargo System,HIGH,HIGH,New signup emails are not sending out today.
50,WRONG BILL AMOUNT AGAIN!!!,OUR INVOICE SAYS 600 DOLLARS BUT OUR CONTRACT IS ONLY 400 DOLLARS PLEASE FIX THIS DISCREPANCY TODAY!!,Kimironko Shop System,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
51,text not inside printed report (#521),we add words on screen but when downlod pdf file that text is gone paper look empty. check when free,Kanombe Cargo System,MEDIUM,MEDIUM,Text is missing when exporting reports to a paper file.
52,Request to modify CSS color property on confirmation button (#805),Please update the primary button class from background-color: #28a745 to #007bff to stay compliant with our internal brand guidebook.,Butare School Portal,CRITICAL,LOW,Client wants to change a button color from green to blue.
53,PDF export missing key custom data rows,"When downloading the analytics dashboard summary, the generated file fails to render the customized narrative rows present in the web layout.",Gisenyi Hotel Booking,LOW,MEDIUM,Text is missing when exporting reports to a paper file.
54,Request to modify CSS color property on confirmation button,Please update the primary button class from background-color: #28a745 to #007bff to stay compliant with our internal brand guidebook.,Rubavu Agri Market,LOW,LOW,Client wants to change a button color from green to blue.
55,how to put new worker inside,hello we have new person coming next week. how do we add them inside app? you have simple video or text link? thanks,Butare School Portal,LOW,LOW,Customer needs a simple guide on how to add a worker.
56,Session lifetime parameter expiring prematurely,The authentication token cookie is invalidating after 5 minutes of idle state instead of the configured 2 hours. This disrupts worker workflows.,Rubavu Agri Market,MEDIUM,MEDIUM,The application logs users out way too fast.
57,Critical system crash on payment module (#676),"Since the update at 3pm, users get a blank screen and 500 error when clicking pay. Affected domain: /api/checkout. Error code: GATEWAY_TIMEOUT. All users blocked.",Remera Tax Portal,CRITICAL,CRITICAL,Mobile money payment is failing but taking customer money.
58,attachments broken,the upload section is not accepting any files from our side.,Butare School Portal,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
59,Inquiry regarding documentation assets for multi-tenant administration (#135),We are setting up internal knowledge base articles and require the video walkthrough link for adding and configuring new corporate roles.,Kimironko Shop System,HIGH,LOW,Customer needs a simple guide on how to add a worker.
60,money go out but order fail,customer buy things but payment say error. mobile money take their cash but no order inside system. big problem help,Gitarama Pharmacy Web,CRITICAL,CRITICAL,Mobile money payment is failing but taking customer money.
61,THERE IS A TYPO ON THE SETTINGS PAGE!!!,IT SAYS ACOUNT INSTEAD OF ACCOUNT FIX THIS MINOR SPELLING MISTAKE IN THE NEXT SPRINT UPDATE!!,Kigali Beauty Platform,LOW,LOW,Small spelling error found on the settings page.
62,CHANGE THIS UGLY BUTTON COLOR TO BLUE!!! (#458),THE GREEN COLOR DOES NOT MATCH OUR BRAND Guidelines AT ALL CHANGE IT TO BLUE WHEN YOU HAVE A MINUTE!!,Kigali Beauty Platform,LOW,LOW,Client wants to change a button color from green to blue.
63,hello site not working help (#870),the whole app is broken we click click nothing happens screen is white blank please help fast business stop,Gitarama Pharmacy Web,CRITICAL,CRITICAL,The entire app is down. Customers cannot buy anything.
64,money go out but order fail,customer buy things but payment say error. mobile money take their cash but no order inside system. big problem help,Gisenyi Hotel Booking,CRITICAL,CRITICAL,Mobile money payment is failing but taking customer money.
65,spelling bad word in account setup (#124),i see small mistake in setting tab text. it say 'acount' instead of true spelling. just minor thing for next update,Rubavu Agri Market,LOW,LOW,Small spelling error found on the settings page.
66,invoice money wrong count (#905),hello bill we get today is wrong number. it say 600 but agreement is 400. please look and send true one,Rubavu Agri Market,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
67,Request to modify CSS color property on confirmation button (#454),Please update the primary button class from background-color: #28a745 to #007bff to stay compliant with our internal brand guidebook.,Kanombe Cargo System,LOW,LOW,Client wants to change a button color from green to blue.
68,File attachment module throwing errors (#314),Users are unable to upload any compliance documentation or image files. The system rejects the payload at 99% with an unhandled exception.,Musanze Delivery App,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
69,Billing mismatch on monthly system invoice (#869),"The automated invoicing system generated an incorrect total for this period, billing $600 instead of our baseline retainer of $400.",Gitarama Pharmacy Web,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
70,need documentation guide (#374),looking for an instruction link on how to manage user profiles on the platform.,Gisenyi Hotel Booking,LOW,LOW,Customer needs a simple guide on how to add a worker.
71,text not inside printed report (#710),we add words on screen but when downlod pdf file that text is gone paper look empty. check when free,Remera Tax Portal,MEDIUM,MEDIUM,Text is missing when exporting reports to a paper file.
72,Ransomware popup on live web server admin link (#947),Our live system admin page has been hijacked. It displays an external hacker alert demanding payment and all staff authentication tokens are rejected.,Gisenyi Hotel Booking,CRITICAL,CRITICAL,The main link is completely broken. Business is stopped.
73,system failure (#555),the app is completely dead for all our office workers.,Nyamirambo Retail App,CRITICAL,CRITICAL,The entire app is down. Customers cannot buy anything.
74,SMTP relay server authentication failing,The email dispatch queue is throwing credential errors on the /v1/send node. No activation links have left the platform since the morning update.,Kimironko Shop System,HIGH,HIGH,New signup emails are not sending out today.
75,Typo correction in settings menu localization file,The string asset for account_label contains a typo where 'account' is rendered as 'acount'. This needs to be polished in the next patch update.,Nyamirambo Retail App,LOW,LOW,Small spelling error found on the settings page.
76,Request to modify CSS color property on confirmation button,Please update the primary button class from background-color: #28a745 to #007bff to stay compliant with our internal brand guidebook.,Gisenyi Hotel Booking,LOW,LOW,Client wants to change a button color from green to blue.
77,Database replication failure causing mass data loss (#780),The core data cluster has failed after the last deploy. Active client records are no longer visible on any dashboard.,Musanze Delivery App,CRITICAL,CRITICAL,All client records are missing from the screen. Team is stuck.
78,File upload failing with unhandled 413 exception (#366),"When clients upload files larger than 1MB on Chrome v114, the system crashes without error messages. This is blocking the compliance team onboarding loop.",Gitarama Pharmacy Web,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
79,Billing mismatch on monthly system invoice,"The automated invoicing system generated an incorrect total for this period, billing $600 instead of our baseline retainer of $400.",Kimironko Shop System,LOW,MEDIUM,Wrong bill total on the monthly client invoice.
80,money go out but order fail,customer buy things but payment say error. mobile money take their cash but no order inside system. big problem help,Butare School Portal,CRITICAL,CRITICAL,Mobile money payment is failing but taking customer money.
81,the wrong price is showing on the checkout page,the item price on the web display shows 50 dollars but when users go to purchase it switches to 75 dollars. this is causing confusion.,Gisenyi Hotel Booking,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
82,Typo correction in settings menu localization file (#992),The string asset for account_label contains a typo where 'account' is rendered as 'acount'. This needs to be polished in the next patch update.,Remera Tax Portal,CRITICAL,LOW,Small spelling error found on the settings page.
83,need documentation guide (#577),looking for an instruction link on how to manage user profiles on the platform.,Nyamirambo Retail App,LOW,LOW,Customer needs a simple guide on how to add a worker.
84,Database replication failure causing mass data loss,The core data cluster has failed after the last deploy. Active client records are no longer visible on any dashboard.,Butare School Portal,HIGH,CRITICAL,All client records are missing from the screen. Team is stuck.
85,SMTP relay server authentication failing,The email dispatch queue is throwing credential errors on the /v1/send node. No activation links have left the platform since the morning update.,Nyamirambo Retail App,HIGH,HIGH,New signup emails are not sending out today.
86,text not inside printed report (#366),we add words on screen but when downlod pdf file that text is gone paper look empty. check when free,Nyamirambo Retail App,MEDIUM,MEDIUM,Text is missing when exporting reports to a paper file.
87,Inquiry regarding user onboarding manual availability,Could you provide a quick reference guide or video tutorial covering the addition of new staff accounts for our upcoming internal training session?,Musanze Delivery App,LOW,LOW,Customer needs a simple guide on how to add a worker.
88,money go out but order fail (#487),customer buy things but payment say error. mobile money take their cash but no order inside system. big problem help,Kimironko Shop System,CRITICAL,CRITICAL,Mobile money payment is failing but taking customer money.
89,invoice error (#979),the price on the invoice sheet does not match our profile records.,Kanombe Cargo System,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
90,text not inside printed report (#749),we add words on screen but when downlod pdf file that text is gone paper look empty. check when free,Gisenyi Hotel Booking,MEDIUM,MEDIUM,Text is missing when exporting reports to a paper file.
91,need documentation guide (#602),looking for an instruction link on how to manage user profiles on the platform.,Rubavu Agri Market,LOW,LOW,Customer needs a simple guide on how to add a worker.
92,spelling typo found,there is a small wording mistake inside one of the description blocks in the user settings menu.,Butare School Portal,LOW,LOW,Small spelling error found on the settings page.
93,system slow loading loop (#958),open page take too long time then say timeout error. we cannot do reporting today because it loop. please check why slow,Gisenyi Hotel Booking,HIGH,HIGH,The system is loading too slow and timing out.
94,THE APP LOGS ME OUT EVERY 5 MINUTES!!! (#701),THIS IS SO ANNOYING I HAVE TO RE-ENTER MY PASSWORD EVERY TIME I STOP TYPING FOR A SECOND MAKE THE TIME LONGER!!,Nyamirambo Retail App,CRITICAL,MEDIUM,The application logs users out way too fast.
95,PDF export missing key custom data rows,"When downloading the analytics dashboard summary, the generated file fails to render the customized narrative rows present in the web layout.",Gisenyi Hotel Booking,MEDIUM,MEDIUM,Text is missing when exporting reports to a paper file.
96,attachments broken (#926),the upload section is not accepting any files from our side.,Remera Tax Portal,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
97,THE TEXT IS MISSING FROM THE PDF EXPORT!!!,IT SHOWS ON THE COMPUTER SCREEN BUT THE DOWNLOADED PAPER FILE IS COMPLETELY BLANK REMOVE THIS BUG!!,Kimironko Shop System,MEDIUM,MEDIUM,Text is missing when exporting reports to a paper file.
98,Typo correction in settings menu localization file,The string asset for account_label contains a typo where 'account' is rendered as 'acount'. This needs to be polished in the next patch update.,Kanombe Cargo System,LOW,LOW,Small spelling error found on the settings page.
99,Database replication failure causing mass data loss (#571),The core data cluster has failed after the last deploy. Active client records are no longer visible on any dashboard.,Rubavu Agri Market,CRITICAL,CRITICAL,All client records are missing from the screen. Team is stuck.
100,photo upload not work error,we try to put photo or paper pdf file inside but it say fail. we need this today for daily job please repair soon,Nyamirambo Retail App,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
101,pdf download missing data,the exported file doesn't match what we see on our web dashboard layer.,Kanombe Cargo System,MEDIUM,MEDIUM,Text is missing when exporting reports to a paper file.
102,app logout too quick (#149),system log out every 5 minute when stop typing. very annoying to type long passwrd again again. make long time please,Kimironko Shop System,MEDIUM,MEDIUM,The application logs users out way too fast.
103,system failure (#849),the app is completely dead for all our office workers.,Kanombe Cargo System,CRITICAL,CRITICAL,The entire app is down. Customers cannot buy anything.
104,need documentation guide,looking for an instruction link on how to manage user profiles on the platform.,Kanombe Cargo System,HIGH,LOW,Customer needs a simple guide on how to add a worker.
105,spelling bad word in account setup,i see small mistake in setting tab text. it say 'acount' instead of true spelling. just minor thing for next update,Butare School Portal,LOW,LOW,Small spelling error found on the settings page.
106,EMAILS ARE NOT GOING TO CLIENTS!!! (#225),NEW SIGNUP EMAILS ARE FULLY STUCK AND CUSTOMERS ARE COMPLAINING FIX THIS NOW TODAY!!,Gitarama Pharmacy Web,HIGH,HIGH,New signup emails are not sending out today.
107,hello site not working help (#239),the whole app is broken we click click nothing happens screen is white blank please help fast business stop,Musanze Delivery App,CRITICAL,CRITICAL,The entire app is down. Customers cannot buy anything.
108,payment button not working for some users,we noticed that clients trying to check out using the old safari web app get a frozen page. chrome users can pay completely fine.,Gitarama Pharmacy Web,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
109,emails are down (#199),nobody is getting any automated responses from the portal today.,Rubavu Agri Market,HIGH,HIGH,New signup emails are not sending out today.
110,THE APP LOGS ME OUT EVERY 5 MINUTES!!!,THIS IS SO ANNOYING I HAVE TO RE-ENTER MY PASSWORD EVERY TIME I STOP TYPING FOR A SECOND MAKE THE TIME LONGER!!,Gisenyi Hotel Booking,MEDIUM,MEDIUM,The application logs users out way too fast.
111,DASHBOARD LOADING FOREVER!!! (#372),THE SYSTEM IS SO SLOW IT TAKES 3 MINUTES THEN GIVES TIMEOUT ERROR WE CANNOT SEE THE DAILY REPORTS TODAY!!,Butare School Portal,HIGH,HIGH,The system is loading too slow and timing out.
112,emails are down,nobody is getting any automated responses from the portal today.,Nyamirambo Retail App,HIGH,HIGH,New signup emails are not sending out today.
113,Ransomware popup on live web server admin link (#464),Our live system admin page has been hijacked. It displays an external hacker alert demanding payment and all staff authentication tokens are rejected.,Kigali Beauty Platform,CRITICAL,CRITICAL,The main link is completely broken. Business is stopped.
114,File attachment module throwing errors (#611),Users are unable to upload any compliance documentation or image files. The system rejects the payload at 99% with an unhandled exception.,Kanombe Cargo System,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
115,attachments broken,the upload section is not accepting any files from our side.,Gitarama Pharmacy Web,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
116,Minor typo identified within settings layout,There is a minor spelling error in the account configuration tab where 'account' is misspelled with a single 'c'. Cosmetic fix.,Gisenyi Hotel Booking,LOW,LOW,Small spelling error found on the settings page.
117,app died,it just stopped working and shows a blank white screen since morning.,Gisenyi Hotel Booking,CRITICAL,CRITICAL,The screen is frozen for everyone. Urgent fix needed.
118,system failure (#412),the app is completely dead for all our office workers.,Gisenyi Hotel Booking,CRITICAL,CRITICAL,The entire app is down. Customers cannot buy anything.
119,Database query causing 504 gateway timeout on reports,"The SQL query for gathering monthly sales metrics lacks an index on the client_id column, causing a 45 second lock. The sales team cannot open reports.",Gitarama Pharmacy Web,HIGH,HIGH,The system is loading too slow and timing out.
120,emails are down,nobody is getting any automated responses from the portal today.,Kigali Beauty Platform,MEDIUM,HIGH,New signup emails are not sending out today.
121,Invoice microservice rounding error on calculation (#615),"Invoice #2938 shows a subtotal of $600 due to a tax configuration error, which contradicts the fixed $400 amount stated in our contract parameters.",Remera Tax Portal,HIGH,MEDIUM,Wrong bill total on the monthly client invoice.
122,app logout too quick (#449),system log out every 5 minute when stop typing. very annoying to type long passwrd again again. make long time please,Rubavu Agri Market,HIGH,MEDIUM,The application logs users out way too fast.
123,photo upload not work error (#935),we try to put photo or paper pdf file inside but it say fail. we need this today for daily job please repair soon,Kigali Beauty Platform,LOW,HIGH,File upload button is broken. Users cannot add attachments.
124,APP IS COMPLETELY DOWN NOW NOW!!! (#565),WE ARE LOSING EVERY SINGLE CUSTOMER MONEY IS FAILING SYSTEM IS FROZEN PLS FIX ASAP!!!!,Musanze Delivery App,CRITICAL,CRITICAL,The entire app is down. Customers cannot buy anything.
125,Inquiry regarding documentation assets for multi-tenant administration (#751),We are setting up internal knowledge base articles and require the video walkthrough link for adding and configuring new corporate roles.,Musanze Delivery App,LOW,LOW,Customer needs a simple guide on how to add a worker.
126,pdf download missing data,the exported file doesn't match what we see on our web dashboard layer.,Remera Tax Portal,MEDIUM,MEDIUM,Text is missing when exporting reports to a paper file.
127,photo upload not work error,we try to put photo or paper pdf file inside but it say fail. we need this today for daily job please repair soon,Kimironko Shop System,CRITICAL,HIGH,File upload button is broken. Users cannot add attachments.
128,need documentation guide,looking for an instruction link on how to manage user profiles on the platform.,Remera Tax Portal,LOW,LOW,Customer needs a simple guide on how to add a worker.
129,DASHBOARD LOADING FOREVER!!! (#615),THE SYSTEM IS SO SLOW IT TAKES 3 MINUTES THEN GIVES TIMEOUT ERROR WE CANNOT SEE THE DAILY REPORTS TODAY!!,Remera Tax Portal,HIGH,HIGH,The system is loading too slow and timing out.
130,change button look blue color,can we change green button to blue color? blue is nice for our company brand. no rush when you have time,Nyamirambo Retail App,LOW,LOW,Client wants to change a button color from green to blue.
131,Inquiry regarding documentation assets for multi-tenant administration,We are setting up internal knowledge base articles and require the video walkthrough link for adding and configuring new corporate roles.,Nyamirambo Retail App,LOW,LOW,Customer needs a simple guide on how to add a worker.
132,Total payment gateway checkout freeze,The primary mobile money and card processing link has stopped working. Every live transaction is hanging indefinitely and failing.,Gisenyi Hotel Booking,CRITICAL,CRITICAL,Mobile money payment is failing but taking customer money.
133,WRONG BILL AMOUNT AGAIN!!!,OUR INVOICE SAYS 600 DOLLARS BUT OUR CONTRACT IS ONLY 400 DOLLARS PLEASE FIX THIS DISCREPANCY TODAY!!,Kanombe Cargo System,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
134,system slow loading loop,open page take too long time then say timeout error. we cannot do reporting today because it loop. please check why slow,Gisenyi Hotel Booking,HIGH,HIGH,The system is loading too slow and timing out.
135,getting logged out constantly,the system keeps forcing me back to the sign-in screen during active intervals.,Gisenyi Hotel Booking,MEDIUM,MEDIUM,The application logs users out way too fast.
136,color change request (#744),we want to alter some accent layouts on the main display page when you have extra sprint bandwidth.,Rubavu Agri Market,LOW,LOW,Client wants to change a button color from green to blue.
137,app died (#782),it just stopped working and shows a blank white screen since morning.,Butare School Portal,CRITICAL,CRITICAL,The screen is frozen for everyone. Urgent fix needed.
138,ALL LOGIN IS BROKEN HELP!!!,NOBODY IN THE WHOLE OFFICE CAN LOG IN SINCE 1 HOUR!! EVERYTHING IS BLANK SCREEN FIX THIS NOW!!,Kigali Beauty Platform,CRITICAL,CRITICAL,Nobody can log in to work. Big emergency.
139,Request to modify CSS color property on confirmation button,Please update the primary button class from background-color: #28a745 to #007bff to stay compliant with our internal brand guidebook.,Kanombe Cargo System,LOW,LOW,Client wants to change a button color from green to blue.
140,system slow loading loop (#901),open page take too long time then say timeout error. we cannot do reporting today because it loop. please check why slow,Butare School Portal,HIGH,HIGH,The system is loading too slow and timing out.
141,Total payment gateway checkout freeze,The primary mobile money and card processing link has stopped working. Every live transaction is hanging indefinitely and failing.,Rubavu Agri Market,CRITICAL,CRITICAL,Mobile money payment is failing but taking customer money.
142,Billing mismatch on monthly system invoice (#512),"The automated invoicing system generated an incorrect total for this period, billing $600 instead of our baseline retainer of $400.",Kanombe Cargo System,CRITICAL,MEDIUM,Wrong bill total on the monthly client invoice.
143,Inquiry regarding user onboarding manual availability (#497),Could you provide a quick reference guide or video tutorial covering the addition of new staff accounts for our upcoming internal training session?,Butare School Portal,LOW,LOW,Customer needs a simple guide on how to add a worker.
